ticker,baslangic,bitis,source,referans
ESCAR,2023-05-06,2023-08-03,kap_tedbir,1181119
EUYO,2023-04-20,2023-07-18,kap_tedbir,1173616
AKYHO,2024-02-07,2024-05-06,kap_tedbir,1282990
SEYKM,2024-02-07,2024-05-06,kap_tedbir,1282990
ISYAT,2023-11-17,2024-02-14,kap_tedbir,1249925
YAYLA,2023-11-04,2024-02-01,kap_tedbir,1246547
ENSRI,2023-10-26,2024-01-23,kap_tedbir,1242638
HATEK,2023-10-19,2024-01-16,kap_tedbir,1241182
PEGYO,2023-10-14,2024-01-11,kap_tedbir,1239389
BEGYO,2024-08-20,2024-11-17,kap_tedbir,1358758
AVHOL,2024-06-14,2024-09-11,kap_tedbir,1333707
TUREX,2024-06-12,2024-09-09,kap_tedbir,1332685
NTHOL,2024-06-08,2024-09-05,kap_tedbir,1331721
PEHOL,2024-05-25,2024-08-22,kap_tedbir,1327467
ADESE,2024-05-24,2024-08-21,kap_tedbir,1327088
CVKMD,2024-05-18,2024-08-15,kap_tedbir,1325828
ENSRI,2024-04-30,2024-07-28,kap_tedbir,1316613
SMRTG,2024-12-06,2025-03-05,kap_tedbir,1401168
KRGYO,2024-11-29,2025-02-26,kap_tedbir,1396899
TDGYO,2024-11-29,2025-02-26,kap_tedbir,1396899
HATEK,2024-10-26,2025-01-23,kap_tedbir,1384330
TATEN,2024-10-10,2025-01-07,kap_tedbir,1375475
AVTUR,2025-08-26,2025-11-23,kap_tedbir,1519662
FRIGO,2025-08-26,2025-11-23,kap_tedbir,1519662
EGEEN,2025-08-15,2025-11-12,kap_tedbir,1516709
JANTS,2025-08-15,2025-11-12,kap_tedbir,1516709
ALKLC,2025-08-09,2025-11-06,kap_tedbir,1513612
TRILC,2025-08-09,2025-11-06,kap_tedbir,1513612
SKYLP,2025-08-09,2025-11-06,kap_tedbir,1513612
DAPGM,2025-06-25,2025-09-22,kap_tedbir,1492340
PAMEL,2025-06-21,2025-09-18,kap_tedbir,1491062
NTHOL,2025-06-08,2025-09-05,kap_tedbir,1487323
KRGYO,2025-05-23,2025-08-20,kap_tedbir,1481816
KONYA,2025-05-10,2025-08-07,kap_tedbir,1474308
IPEKE,2025-04-29,2025-07-27,kap_tedbir,1467463
TMSN,2025-04-29,2025-07-27,kap_tedbir,1467463
TUCLK,2025-04-29,2025-07-27,kap_tedbir,1467463
DZGYO,2025-04-29,2025-07-27,kap_tedbir,1467463
OZATD,2025-01-30,2025-04-29,kap_tedbir,1432494
KRGYO,2025-01-30,2025-04-29,kap_tedbir,1432494
VKFYO,2025-01-28,2025-04-27,kap_tedbir,1430562
EUREN,2025-01-22,2025-04-21,kap_tedbir,1428874
BAKAB,2025-01-17,2025-04-16,kap_tedbir,1427324
ENSRI,2025-01-15,2025-04-14,kap_tedbir,1426388
